song_name,track_href,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
Juju On That Beat (TZ Anthem),https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.887,0.391,160.517,0.275,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.00381,0,4,0.807,1,144244,-3.892,0.794,audio_features,1lItf5ZXJc1by9SbPeljFd,1
Don't Let Me Down,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,0.869,0.136,159.803,0.172,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.157,0.00508,4,0.532,11,208373,-5.094,0.419,audio_features,1i1fxkWeaMmKEB4T7zqbzK,1
Don't Wanna Know,https://api.spotify.com/v1/tracks/5MFzQMkrl1FOOng9tq6R9r,https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r,0.623,0.0975,100.048,0.08,spotify:track:5MFzQMkrl1FOOng9tq6R9r,0.338,0,4,0.783,7,214480,-6.126,0.447,audio_features,5MFzQMkrl1FOOng9tq6R9r,1
False Alarm,https://api.spotify.com/v1/tracks/0PMi7Te16djd77FNZNHEjS,https://api.spotify.com/v1/audio-analysis/0PMi7Te16djd77FNZNHEjS,0.686,0.139,174.011,0.0856,spotify:track:0PMi7Te16djd77FNZNHEjS,0.028,4.68E-05,4,0.507,8,231000,-6.561,0.215,audio_features,0PMi7Te16djd77FNZNHEjS,0
Cheap Thrills,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,0.698,0.0907,89.976,0.105,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.0472,0.00143,4,0.628,6,211667,-5.608,0.73,audio_features,27SdWb2rFzO6GWiYDBTD9j,0
Ride,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,0.713,0.113,74.989,0.0393,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.00835,0,4,0.645,6,214507,-5.355,0.58,audio_features,2Z8WuEywRWYTKe1NybPQEW,1
Send My Love (To Your New Lover),https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth,https://api.spotify.com/v1/audio-analysis/3KZcrZ36LW9RnChK1iIkth,0.532,0.172,164.068,0.0875,spotify:track:3KZcrZ36LW9RnChK1iIkth,0.0356,3.08E-06,4,0.688,6,223079,-8.361,0.559,audio_features,3KZcrZ36LW9RnChK1iIkth,0
Needed Me,https://api.spotify.com/v1/tracks/3kfxarilcBr81mb2hmZLeh,https://api.spotify.com/v1/audio-analysis/3kfxarilcBr81mb2hmZLeh,0.314,0.0825,110.898,0.244,spotify:track:3kfxarilcBr81mb2hmZLeh,0.11,0,4,0.671,5,191600,-8.091,0.295,audio_features,3kfxarilcBr81mb2hmZLeh,0
Broccoli (feat. Lil Yachty),https://api.spotify.com/v1/tracks/4a87wpeqAcOv03pYihEzku,https://api.spotify.com/v1/audio-analysis/4a87wpeqAcOv03pYihEzku,0.525,0.057,145.99,0.131,spotify:track:4a87wpeqAcOv03pYihEzku,0.236,0,4,0.886,8,225205,-7.39,0.708,audio_features,4a87wpeqAcOv03pYihEzku,1
In the Name of Love,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,0.519,0.454,133.99,0.0409,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.109,0,4,0.501,4,195707,-5.88,0.157,audio_features,23L5CiUhw2jV1OIMwthR3S,0
